lAboutText1	~1~ ~2~ (~3~ bits)
lContextShowMenuAternative	Exibir menu Alternativo do Quick Access Popup
lControlToolTipAlwaysOnTopOff	Manter esta janela visível sempre no topo
lControlToolTipAlwaysOnTopOn	Parar de manter esta janela sempre no topo
lControlToolTipColumnBreak	Inserir uma quebra de coluna na posição atual do menu
lControlToolTipMoveDown	Mover favorito(s) selecionado(s) para baixo
lControlToolTipMoveUp	Mover favorito(s) selecionado(s) para cima
lControlToolTipParentMenu	Ir para o menu principal
lControlToolTipPreviousMenu	Voltar para o menu anterior
lControlToolTipSeparator	Inserir um separador na posição atual do menu
lControlToolTipSortFavorites	Classifica todos os favoritos ou os selecionados na lista
lControlToolTipTextSeparator	Inserir um menu de separador de texto na posição atual do menu
lCopyFavoritesToMenuOrGroup	Menus e grupos não podem ser copiados.`n`nDeseja continuar sem copiar os menus e grupos?
lCopyLocationCopiedToClipboard	Caminho ou URL copiada para a Área de Transferência
lDiagModeCaution	O ~1~ está sendo executado no modo de diagnóstico.`n`nSerão coletadas informações sobre a execução do aplicativo para o arquivo:`n~2~`n`nNada será enviado sem o seu consentimento.`n`nDeseja manter o modo de diagnóstico ATIVADO?
lDiagModeExit	O ~1~ coletou informações de diagnóstico para o arquivo ~2~.
lDiagModeIntro	Envie este arquivo para ahk@jeanlalonde.ca com uma descrição da situação que exige diagnóstico.
lDiagModeSee	Deseja ver o arquivo de diagnóstico?
lDialogActivateAlreadyRunning	Se o aplicativo já está em execução, ative-o em vez de iniciá-lo`n(o aplicativo deve estar exatamente no mesmo local)
lDialogAdd	Adicionar
lDialogAddAmpersand	&Adicionar
lDialogAddEditFavoriteTitle	~1~ Favorito: ~4~ - ~2~ ~3~
lDialogAddFavoriteSelectTitle	Adicionar Favorito - ~1~
lDialogAddFavoriteTabs	Configurações Básicas|Opções do Menu|Opções da Janela|Configurações Avançadas
lDialogAddFavoriteTabsExternal	Menu Compartilhado
lDialogAddFavoriteTabsLive	Opções da Pasta Ativa
lDialogAddFileSelect	Escolha o novo documento:
lDialogAddFolderManuallyPrompt	Desculpe, não detectamos a pasta atual neste tipo de janela.`n`nDeseja adicionar uma pasta favorita manualmenet agora?
lDialogAddFolderManuallyTitle	Adicionar esta Pasta ou Link - ~1~ ~2~
lDialogAddFolderSelect	Escolha ou crie a nova pasta:
lDialogAdmnistrator	Administrador
lDialogAdmnistratorNot	Não Administrador
lDialogAlt	Alt
lDialogApplicationLabel	Aplicativo
lDialogAppWorkingDirCurrent	Iniciar aplicativo no local da pasta onde seu favorito foi iniciado
lDialogArgumentsLabel	Parâmetros
lDialogArgumentsLabelHelp	(coloque cada parâmetro entre aspas, se necessário)
lDialogArgumentsPlaceholders	Você pode inserir a localização deste favorito ou parte dele nos parâmetros  usando estes marcadores: {LOC} (localização completa), {NAME} (nome do arquivo), {DIR} (pasta), {EXT} (extensão), {NOEXT} (nome do arquivo sem extensão) or {DRIVE} (unidade)
lDialogArgumentsPlaceholdersCheckLabel	Parâmetros atuais com marcadores expandidos
lDialogArgumentsPlaceholdersCurrent	Você também pode inserir espaços reservados para o local da pasta atual onde seu favorito foi iniciado: {CUR_LOC} (pasta completa), {CUR_NAME} (última pasta), {CUR_DIR} (pasta contendo última pasta) ou {CUR_DRIVE}
lDialogArgumentsPlaceholdersCurrentExample	x:\pasta_contendo\última_pasta
lDialogAscending	Ascendente
lDialogBrowseButton	Procurar
lDialogBrowseOrSelectApplication	Procure por um arquivo executável ou`nselecione um aplicativo em execução na lista
lDialogCancelButton	Cancelar
lDialogCancelPrompt	Descartar alterações?
lDialogCancelTitle	Cancelar - ~1~ ~2~
lDialogChangeHotkeyAlternative	Esta é a tecla de atalho do menu Alternativo.`n`nDeseja gerenciar "~1~" em "~2~"?
lDialogChangeHotkeyAny	Qualquer uma
lDialogChangeHotkeyLeftAnyRight	Cada modificador de teclado pode ser vinculado a apenas a tecla "Esquerda", apenas a tecla "Direita" ou "Qualquer uma" delas.
lDialogChangeHotkeyModifierAndNone	Modificadores como "Alt" ou "Control" não podem ser selecionados sozinhos. Selecione também uma tecla de atalho do mouse ou teclado na seção à direita.
lDialogChangeHotkeyMouseCheckLButton	Você não pode atribuir o "Botão Esquerdo do Mouse" sem um modificador`n(como teclas ~1~, ~2~, ~3~ ou ~4~). lOptionsMouseCheckLButton renomeado
lDialogChangeHotkeyPopup	Esta é a tecla de atalho do menu popup.`n`nDeseja gerenciar "~1~" em "~2~"?
lDialogChangeHotkeyTitle	Alterar atalho - ~1~ ~2~
lDialogChangeHotstringDefaultOptionsPrompt	Selecione as opções padrão para as novas strings de substituição criadas (<a href="~1~">Ajuda</a>)
lDialogChangeHotstringTitle	Alterar string de substituição - ~1~
lDialogChangeHotstringTitleDefaultOptions	Opções padrão de strings de substituição - ~1~
lDialogCloseAllWindows	Fechar Todas as Janelas
lDialogCloseAllWindowsClose	Fechar janelas selecionadas
lDialogCloseAllWindowsDetail	Título da janela:`n~1~`n`nCaminho do processo da janela:`n~2~`n`nVocê deseja FECHAR esta janela?
lDialogCloseAllWindowsHeader	Título da janela
lDialogCloseAllWindowsIntro	Marque as janelas para serem fechadas e clique em "Fechar janelas selecionadas". Dê um duplo clique ou pressione Enter para fechar uma janela ou veja seus detalhes.
lDialogCloseAllWindowsSelectAll	Marcar/desmarcar todas
lDialogCloseComputerControl	Fechar Central de Controle do Computador
lDialogCloseComputerControlDescription	Tenha total controle de como o computador será desligado:`n - Fazer Logoff, Desligar, Reiniciar, Desativar, forçado ou não`n- Suspender ou Hibernar, imediatamente ou não, desabilitando eventos de despertar ou não`n- Desligar o monitor, Ativar modo de baixo consumo do monitor ou Iniciar a proteção de tela.
lDialogCloseComputerDisableWakeEvents	&Desativar eventos de despertar
lDialogCloseComputerForce	&Forçar (pode causar perda de dados)
lDialogCloseComputerGo	Executar a ação selecionada
lDialogCloseComputerHibernate	&Hibernar computador
lDialogCloseComputerHibernateDescription	Coloca o computador em modo de economia de energia, permitindo que ele reinicie rapidamente a operação de energia total (similar ao modo de Suspensão, mas com menor uso de energia). Ao iniciar novamente o PC, você estará de volta ao ponto de onde parou (embora não tão rápido quanto Suspender). Hibernar é projetado para laptops e pode não estar disponível para todos os PCs.
lDialogCloseComputerIntro	Selecione a ação que deseja executar
lDialogCloseComputerLogoff	Fazer &logoff do usuário
lDialogCloseComputerLogoffDescription	Fecha todos os aplicativos e finaliza a sessão do usuário atual.
lDialogCloseComputerMonitorLowPower	Colocar monitor no modo de &baixo consumo
lDialogCloseComputerMonitorLowPowerDescription	Coloca o monitor do computador em modo de baixo consumo. O modo de baixo consumo é projetado para laptops e pode não estar disponível em monitores de computadores desktop.
lDialogCloseComputerMonitorTurnOff	Desligar &monitor
lDialogCloseComputerMonitorTurnOffDescription	Desliga o monitor do computador.
lDialogCloseComputerPowerDown	Desativar &computador
lDialogCloseComputerPowerDownDescription	Fecha todos os aplicativos e desativa a energia do computador.
lDialogCloseComputerPrompt	Por favor, selecione uma opção...
lDialogCloseComputerRestart	&Reiniciar computador
lDialogCloseComputerRestartDescription	Fecha todos os aplicativos e reinicia o computador como se o usuário tivesse desligado e ligado novamente.
lDialogCloseComputerShutdown	De&sligar computador
lDialogCloseComputerShutdownDescription	Fecha todos os aplicativos em preparação para o desligamento da energia do computador. Dependendo da configuração do sistema, isto pode ser seguido pelo desligamento do sistema.
lDialogCloseComputerStartScreenSaver	Inici&ar proteção de tela
lDialogCloseComputerStartScreenSaverDescription	Inicia a proteção de tela padrão do sistema.
lDialogCloseComputerSuspend	&Suspender computador
lDialogCloseComputerSuspendDescription	Coloca o computador em estado de economia de energia que permite-o rapidamente iniciar a operação com energia total quando você desejar iniciar o trabalho novamente. O modo de suspensão usa muita pouca energia, seu computador inicia mais rápido, e você está instantaneamente de volta ao ponto de onde parou.
lDialogCloseComputerSuspendImmediately	Suspender &imediatamente (pode causar perda de dados)
lDialogContinue	Continuar
lDialogContinueAmpersand	C&ontinuar
lDialogCopy	Copiar
lDialogCopyAmpersand	C&opiar
lDialogCopyFavoritesTitle	Copiar Favoritos - ~1~ ~2~
lDialogCtrl	Controle
lDialogCtrlShort	Ctrl
lDialogDescending	Descendente
lDialogDropDown	suspenso
lDialogEdit	Editar
lDialogEditIcon	Editar ícone
lDialogEditIconPrompt	Edite o ícone no formato "arquivo de ícone,índice" (por exemplo: "shell32.dll,2")
lDialogElevate	Execute o aplicativo com privilégios de Administrador
lDialogEndOfMenu	final do menu
lDialogErrorMoving	Não foi possível redimensionar o favorito:`n"~1~"
lDialogExtendedSearch	Pesquisa Estendida
lDialogExternalAddFromCatalogue	Deseja adicionar um menu externo a partir do Catálogo de Menus Compartilhados?
lDialogExternalLocation	Local do arquivo de configurações do menu externo
lDialogExternalLocationIni	O arquivo de configurações do menu compartilhado deve ser um arquivo .ini
lDialogExternalLocationReadOnly	A localização do menu compartilhado existente não pode ser alterada. Se o arquivo para este menu compartilhado foi renomeado ou movido, primeiramente remova este menu compartilhado e crie um novo com o arquivo movido ou renomeado.
lDialogExternalMenuAdd	Adicionar menu(s) compartilhado(s) selecionado(s)
lDialogExternalMenuAdded	Menu compartilhado adicionado.
lDialogExternalMenuAddFromCatalogue	Adicionar menus compartilhados do catálogo - ~1~ ~2~
lDialogExternalMenuAddHeader	Nome do Menu Compartilhado|Arquivos de Configurações do Menu Compartilhado
lDialogExternalMenuAddNotFromCatalogue	Adicionar outro menu compartilhado...
lDialogExternalMenuName	Nome do menu compartilhado
lDialogExternalMenuNotExist	Este menu compartilhado não existe. Você deseja criar um novo menu compartilhado vazio neste local?`n`n~1~
lDialogExternalMenuOpen	Abrir arquivo do menu compartilhado?
lDialogExternalMenusAdded	~1~ menus compartilhados adicionados.
lDialogExternalMenuSelectFromCatalogue	Selecione um ou mais menus compartilhados para adicionar ao seu menu e clique ~1~
lDialogExternalStartingNumber	Número do primeiro favorito
lDialogExternalTip	Clique duplo em uma linha para ver as informações do menu Compartilhado.
lDialogExternalTypes	Pessoal (menu compartilhado em diferentes computadores com o mesmo usuário)|Colaborativo (menu em um disco compartilhado com uma equipe ou grupo de trabalho)|Centralizado (menu em um disco compartilhado mantido pelo administrador do menu)
lDialogExternalTypesLabel	Tipo de Menu Compartilhado
lDialogExternalWriteAccessMessage	Mensagem de acesso de escrita do menu compartilhado
lDialogExternalWriteAccessUsers	Usuários com acesso de escrita neste menu compartilhado
lDialogFavoriteDisabled	Ocultar este favorito do menu
lDialogFavoriteDisabledGroupMember	Desativar este item no grupo
lDialogFavoriteDoesNotExistEdit	Você deseja editar este favorito?
lDialogFavoriteDoesNotExistPrompt	O favorito "~1~"~2~ não existe ou não está disponível.`n`nSe este favorito está em uma unidade de rede, tente novamente depois da autenticação de rede.
lDialogFavoriteDoesNotExistTitle	O favorito não existe - ~1~
lDialogFavoriteDropdownEmpty	Por favor, escolha um item na lista ~1~ ~2~.
lDialogFavoriteExternalHelpWeb	Veja <a href="~1~">Ajuda para menus externos</a> para maiores informações.
lDialogFavoriteExternalSaveNote	Nota: Valores nesta aba são salvos no menu compartilhado assim que você clicar em "~1~".
lDialogFavoriteFolderLive	Pasta Ativa (menu incluindo subpastas)
lDialogFavoriteFolderLiveColumns	Número de itens por coluna (0 para sem quebra de coluna)
lDialogFavoriteFolderLiveDocuments	Incluir documentos
lDialogFavoriteFolderLiveExclude	Excluir
lDialogFavoriteFolderLiveExtensions	estas extensões (separe as extensões com espaços, por exemplo: "bak bk")
lDialogFavoriteFolderLiveInclude	Incluir
lDialogFavoriteFolderLiveLevels	Número de níveis de subpastas para incluir no menu da Pasta Ativa
lDialogFavoriteLocationEmpty	O local está vazio. Por favor, escolha um local.
lDialogFavoriteMenuPosition	Inserir o favorito antes deste item
lDialogFavoriteNameEmpty	O nome do favorito está vazio. Por favor, escolha um nome.
lDialogFavoriteNameNoSeparator	O nome deste item não pode incluir o caractere reservado "~1~".
lDialogFavoriteNameNotAllowed	Favoritos do tipo "~1~" não são permitidos em grupos. Por favor, selecione outro menu pai na aba "Opções do Menu".
lDialogFavoriteNameNotNew	O nome "~1~" já está em uso neste menu. Por favor, escolha um novo nome.
lDialogFavoriteNameNotNewQAPfeature	O nome "~1~" já está em uso neste menu. Por favor, renomeie o favorito existente e tente novamente.
lDialogFavoriteParentMenu	Menu pai do favorito
lDialogFavoriteParentMenuMove	Mover favorito para este menu
lDialogFavoriteRemoveExternalPrompt	Remover o submenu externo "~1~"`n(arquivo ini de configurações externas NÃO será excluído)?
lDialogFavoriteRemoveGroupPrompt	Remover o grupo "~1~"`n(itens no grupo também serão excluídos)?
lDialogFavoriteRemovePrompt	Remover o submenu "~1~"`ne TODO seu conteúdo (pastas e submenus)?
lDialogFavoriteRemoveTitle	Remover Favorito - ~1~
lDialogFavoriteSelectType	Selecione o tipo de favorito para adicionar.`n`nNa próxima janela, você dará ao seu favorito:`n- um nome`n- um conteúdo (dependendo do tipo)`n- várias configurações (ícone, atalho, etc.)`n`nEscolha o tipo do novo favorito e clique "~1~".
lDialogFavoriteShortNameLabel	Nome curto para o menu
lDialogFavoritesMenuPosition	Inserir os favoritos antes deste item
lDialogFavoriteSnippetEmpty	O conteúdo está vazio. Por favor, entre o conteúdo recortado.
lDialogFavoriteSnippetFixedFont	Fonte com largura fixa
lDialogFavoriteSnippetFontSize	Tamanho da fonte
lDialogFavoriteSnippetHelpNoProcess	Insira ``n para final da linha e ``t para tabulação. Insira ```` (aspas invertidas duplas) para aspas invertidas.
lDialogFavoriteSnippetHelpProcess	Use Ctrl-Tab para inserir tabulações e Enter para inserir finais de linhas
lDialogFavoriteSnippetHelpWeb	Veja <a href="~1~">Ajuda para Recortes</a> para codificação de caracteres especiais e comandos.
lDialogFavoriteSnippetProcessEOLTab	Automaticamente codificar finais de linhas e tabulações
lDialogFavoriteSnippetPromptLabel	Perguntar antes de ~1~ o recorte
lDialogFavoriteSnippetPromptLabelLaunching	iniciar
lDialogFavoriteSnippetPromptLabelPasting	colar
lDialogFavoriteSnippetPromptNoPipe	O caractere de barra vertical (|) não é permitido no aviso de recorte.
lDialogFavoriteSnippetSendMode	Enviar recorte para aplicativo atual em:
lDialogFavoriteSnippetSendModeMacro	Modo macro
lDialogFavoriteSnippetSendModeText	Modo texto
lDialogFavoritesParentMenuCopy	Copiar ~1~ favoritos para este menu
lDialogFavoritesParentMenuMove	Mover favoritos do ~1~ para este menu
lDialogFavoriteType	Tipo do Favorito
lDialogFavoriteTypesHelp1	Crie um atalho para uma "Pasta" usada com frequência.`n`nDefina o nome do menu do favorito, caminho e várias opções de menu.`n`nAs Opções de Pasta Ativa permitem atualizar o conteúdo do menu com o conteúdo atual da pasta.`n`nConfigurações avançadas permitem definir a posição da janela e opções do gerenciador de arquivos.
lDialogFavoriteTypesHelp13	Crie um "Recorte". Defina o título do recorte para o menu, seu conteúdo e várias opções de menu.`n`nNas opções avançadas, escolha "Modo texto" para colar recortes de texto como faria pela Área de Transferência ou escolha "Modo macro" para enviar recortes como faria ao pressionar teclas (incluindo teclas especiais, veja a Ajuda).
lDialogFavoriteTypesHelp14	Crie um "Menu compartilhado" para usar favoritos em vários sistemas a partir do mesmo arquivo de configurações em um local externo. Defina o nome do menu compartilhado para o menu, o local do arquivo de configurações externo e várias opções.`n`nMenus compartilhados podem ser usados no modo "Pessoal", "Colaborativo" ou "Centralizado". Um Catálogo de Menus Compartilhados pode ser definido na aba "Geral" em Opções para facilitar a adição de menus compartilhados.`n`nMenus compartilhados podem ser editados como menus regulares. Somente usuários selecionados podem editar menus compartilhados Centralizados. Consulte as Perguntas Frequentes (FAQ) no site para mais ajuda. 
lDialogFavoriteTypesHelp15	Cria um "Separador de Texto" para inserir cabeçalhos, dando mais clareza ao seu menu.`n`nPor padrão, separadores de texto não possuem ícone, mas você pode selecionar um na aba "Opções do Menu".
lDialogFavoriteTypesHelp2	Crie um atalho para um "Documento".`n`nDefina o nome do menu do favorito, caminho e várias opções de menu.`n`nConfigurações avançadas permitem escolher um aplicativo específico para exibir o documento e adicionar parâmetros adicionais.
lDialogFavoriteTypesHelp3	Crie um atalho para um "Aplicativo" (programa, arquivo de lote ou script).`n`nProcure o arquivo executável ou selecione um dos programas em execução. Defina várias opções de menu.`n`nConfigurações avançadas permitem selecionar uma pasta "Iniciar em" e adicionar parâmetros.
lDialogFavoriteTypesHelp4	Crie um atalho para uma das 50 "Pastas Especiais" predefinidas do Windows, como: Bibliotecas, Imagens, Lixeira, Downloads, etc.`n`nDefina várias opções do menu. Configurações avançadas permitem definir a posição da janela e opções do gerenciador de arquivos.
lDialogFavoriteTypesHelp5	Crie um "Link" para uma página da web.`n`nDefina o nome do menu, endereço da página web (URL) e várias opções de menu.`n`nConfigurações avançadas permitem selecionar um navegador específico para abrir o link e adicionar parâmetros opcionais.
lDialogFavoriteTypesHelp6	Crie um atalho para um "Site FTP".`n`nDefina o nome do menu, endereço do site FTP (URL), nomede login, senha e várias opções de menu.`n`nConfigurações avançadas permitem selecionar um programa FTP específico para acessar este site, adicionar parâmetros opcionais, definir a posição da janela e codificar o nome e senha de login.`n`nNota: a senha NÃO é criptografada quando enviada pela Internet.
lDialogFavoriteTypesHelp7	Insira em qualquer lugar do seu menu "Recursos do Quick Access Popup" como: ~1~, ~2~, ~3~, ~4~, ~5~, etc. Consulte as descrições e links de ajuda para maiores informações.
lDialogFavoriteTypesHelp8	Reúna favoritos relacionados em um "Submenu".`n`nDê um nome para seu submenu e selecione as opções de menu.`n`nAdicione favoritos em seu submenu. Mova um favorito para outro submenu ou grupo usando o botão "Mover" ou a aba "Opções de Menu" da janela "Editar Favorito".
lDialogFavoriteTypesHelp9	Inicie um "Grupo" de favoritos, todos em um atalho!`n`nDê um nome para seu grupo e defina várias opções para seu grupo.`n`nAdicione favoritos em seu grupo. Mova um favorito de outro grupo ou submenu usando o botão "Mover" ou a aba "Opções de Menu" da janela "Editar Favorito".`n`nConfigurações avançadas permitem controlar a velocidade de restauração inserindo um atraso entre cada favorito para restaurar.
lDialogFavoriteTypesLabels	&Pasta|&Documento|&Aplicativo|Pasta E&special|&Link (URL)|Site F&TP|Recurso &QAP|Sub&menu|&Grupo||||&Recorte|Menu &Compartilhado|Separador de Texto|&Windows App
lDialogFavoriteTypesLabelsNoAmpersand	Pasta|Documento|Aplicativo|Pasta Especial|Link (URL)|Site FTP|Recurso do QAP|Submenu|Grupo||||Recorte|Menu Compartilhado|Separador de Texto|Windows App
lDialogFavoriteTypesLocationLabels	Pasta (caminho)|Documento (caminho e nome do arquivo)|Aplicativo (caminho e nome do arquivo)||Link (URL)|Site FTP (URL)|||||||Conteúdo|Arquivo de configurações externo (caminho)|Separador de Texto|Windows App ID (AUMID)
lDialogFavoriteTypesShortNames	Pasta|Documento|Aplicativo|Especial|Link|FTP|QAP|Menu|Grupo|Separador|Quebra de Coluna|..|Recorte|Compartilhado|Texto
lDialogFavoriteWorkingDirNotFoundPrompt	A configuração avançada "Iniciar em" do favorito "~1~" não foi encontrada:`n~2~
lDialogFavoriteWorkingDirNotFoundTitle	Parâmetro 'Iniciar em' não encontrado - ~1~
lDialogFileExtension	Extensão de Arquivo
lDialogFileLabel	Documento
lDialogFileName	File Nome
lDialogFileSize	File Tamanho
lDialogFolderLabel	Pasta
lDialogFoldersPlaceholders	Você pode inserir o marcador de posição {CUR_LOC} para inserir o local de onde este favorito é iniciado
lDialogGetWebPageTitle	Obter título
lDialogGetWinInfo	Para identificar a janela da qual deseja obter título, classe ou nome do processo, clique na janela de destino com a tecla de atalho do menu QAP [~1~].
lDialogGetWInInfo2Clippoard	Título da janela:`n"~1~"`n`nClasse:`n"~2~"`n`nNome do processo:`n"~3~"`n`nCopiar informações para a Área de Transferência?
lDialogHotkeyInvisibleKeys	<a id="~1~">barra de espaço</a>, <a id="~2~">tab</a>, <a id="~3~">enter</a>, <a id="~4~">escape</a>`nor <a id="~5~">tecla menu (aplicativo)</a>
lDialogHotkeys	Teclas de Atalho
lDialogHotkeysManageAboutHotstrings	Strings de substituição atualmente ativas em ~1~
lDialogHotkeysManageAboutShortcuts	Atalhos atualmente ativos em ~1~
lDialogHotkeysManageAlternative	Alternativo
lDialogHotkeysManageAlternativeMenu	Menu Alternativo
lDialogHotkeysManageIntro	Clique duplo na linha do favorito para alterar o ~1~.
lDialogHotkeysManageListHeader	Menu|Nome do Favorito|Tipo|~1~|Local do Favorito ou Conteúdo
lDialogHotkeysManageListHeaderHotstrings	String de substituição|Opções
lDialogHotkeysManageListSeeAllFavorites	Ver todos os favoritos
lDialogHotkeysManageListSeeShortHotkeyNames	Ver nomes abreviados de teclas de atalho e opções de string de substituição
lDialogHotkeysManagePopup	Popup
lDialogHotkeysManageShortcutHotstringLower	atalho|string de substituição
lDialogHotkeysManageTitle	Gerenciar Teclas de Atalho - ~1~ ~2~
lDialogHotstring	Strings de Substituição
lDialogHotstringCaseSensitive	Diferenciar maiúsculas/minúsculas
lDialogHotstringExpandInsideWords	Expandir dentro de outras palavras
lDialogHotstringIndicator	st
lDialogHotstringKeepHotstring	Manter abreviação de string de substituição
lDialogHotstringNotWaitEndingKey	Não aguardar tecla de conclusão
lDialogHotstrings	Strings de Substituição
lDialogHotstringsDescription	Exibe uma caixa de diálogo com uma visão global de suas strings de substituição (pequenas sequências de chaves que automaticamente disparam favoritos do QAP). Você pode classificar os favoritos clicando no cabeçalho.`n`nClique duplo em uma string de substituição para editá-la.`n`nClique na caixa de marcação "Ver todos os favoritos" para atribuir strings de substituição para outros favoritos.
lDialogHotstringsShort	Substituição
lDialogHotstringTriggerAbbreviation	Disparador (abreviação):
lDialogHotstringTriggerOptions	String de substituição (disparador e opções)
lDialogHotstringWaitEndingKey	Aguardar tecla de conclusão
lDialogIcon	Ícone do Favorito
lDialogIconsManage	Ícones
lDialogIconsManageAbout	Selecione novos ícones para seus favoritos ou defina o ícone padrão para o tipo. Não esqueça de salvar as alterações na janela de Configurações.
lDialogIconsManageCurrent	Ícone atual
lDialogIconsManageDefault	Ícone padrão
lDialogIconsManageDescription	Exibe uma caixa de diálogo listando todos os favoritos no seu menu do QAP com o seu ícone atual e o ícone padrão deste tipo de favorito. Os favoritos são agrupados em submenus, na ordem em que aparecem em seu menu.`n`nClique nos botões para selecionar um ícone personalizado para um favorito ou para redefinir um favorito para seu ícone padrão.
lDialogIconsManageFavoriteName	Nome do favorito
lDialogIconsManageNext	&Próximo
lDialogIconsManageParentMenu	Menu principal do favorito
lDialogIconsManagePrevious	&Anterior
lDialogIconsManageSetDefaultIcon	Definir ícone padrão
lDialogIconsManageTitle	Gerenciar Ícones - ~1~ ~2~
lDialogInvalidHotkey	Com o layout de teclado atual do sistema, a tecla de atalho "~1~" não pode ser usada como disparador para o menu popup  (erro 'não é uma tecla válida').`n`nPor favor, abra as configurações do "~2~ pelo menu da Área de Notificação e clique em "Opções". Nesta caixa de diálogo, escolha outro atalho para "~3~".
lDialogInvalidHotkeyFavorite	Com o layout atual do seu teclado, a tecla de atalho "~1~" não pode ser usada como disparador para este favorito (erro de nome inválido de tecla).`n`nPor favor, escolha outro atalho para o favorito "~2~" e local "~3~".
lDialogKeyboard	Teclado
lDialogLaunchWith	Iniciar com este aplicativo
lDialogMaximized	Maximizado
lDialogMenuKey	Tecla Menu
lDialogMenuNotMoveUnderItself	O menu "~1~" não pode ser movido abaixo de si mesmo
lDialogMinimized	Minimizado
lDialogModifiedDate	Data de modificação
lDialogMouse	Mouse
lDialogMouseButtonsText	Botão Esquerdo do Mouse|Botão do Meio do Mouse|Botão Direito do Mouse|Botão Especial do Mouse 1|Botão Especial do Mouse 2|Roda para Cima|Roda para Baixo|Roda para Esquerda|Roda para Direita|
lDialogMoveFavoritesTitle	Mover Favoritos - ~1~ ~2~
lDialogMoveFavoriteTitle	Mover Favorito - ~1~ ~2~
lDialogNA	n/a
lDialogNone	Nenhum
lDialogNormal	Normal
lDialogOff	Desligado
lDialogOK	OK
lDialogOKAmpersand	&OK
lDialogOn	Ligado
lDialogOpenThisGroup	Abrir este grupo
lDialogOpenThisMenu	Abrir este menu
lDialogOr	ou
lDialogOtherHotkeys	Outras teclas de atalho para o menu principal
lDialogQAPFeatureCategoriesNames	Destacado|Menus Dinâmicos|Edição de Menu do QAP|Adicionar Favorito do Tipo|Gerenciamento de janela|Recursos do Windows|Comandos para fechar o computador|Vários Utilitários|Gerenciamento do QAP
lDialogQAPFeaturesHelpLink	Ajuda para este recurso
lDialogReadOnly	Somente leitura
lDialogRemoveMultipleFavorites	Deseja realmente remover favoritos do ~1~ ou submenus?
lDialogSearch	Pesquisar
lDialogSelectIcon	Selecione o ícone
lDialogSelectIconJL	Selecione em JLicons.dll
lDialogSelectIconNo	Sem ícone
lDialogSelectItemToAdd	Selecione o item para adicionar
lDialogSelectItemToEdit	Por favor, selecione o item para editar.
lDialogSelectItemToMove	Por favor, selecione o item para mover.
lDialogSelectItemToRemove	Por favor, selecione o item para remover.
lDialogSettingsInvalid	Arquivo de Configurações inválido.`n`nCertifique-se de que o arquivo de Configurações inclui as seções ~1~ e ~2~.`n`nArquivo: ~3~
