lAboutText1	~1~ ~2~ (~3~ bits)
lDiagModeExit	O ~1~ compilou a informação de diagnóstico no ficheiro ~2~.
lDiagModeIntro	Enviar este ficheiro para ahk@jeanlalonde.ca com a descrição da situação que requer diagnóstico.
lDiagModeSee	Deseja ver o ficheiro de diagnóstico?
lDialogActivateAlreadyRunning	Se o programa estiver em execução, activar em vez de iniciar`n(o programa deve estar exactamente no mesmo lugar)
lDialogAdd	Adicionar
lDialogAddAmpersand	&Adicionar
lDialogAddEditFavoriteTitle	~1~ Favorito: ~4~ - ~2~ ~3~
lDialogAddFavoriteSelectTitle	Adicionar Tipo de Favorito - ~1~
lDialogAddFavoriteTabs	Definições Básicas|Opções de Menu|Opções de Janela|Definições Avançadas
lDialogAddFavoriteTabsExternal	Menu Partilhado
lDialogAddFavoriteTabsLive	Opções Pasta Live
lDialogAddFileSelect	Escolher um novo documento:
lDialogAddFolderManuallyPrompt	Lamentamos, não é possível detectar a pasta actual neste tipo de janela.`n`nDeseja adicionar uma pasta favoritos manualmente?
lDialogAddFolderManuallyTitle	Adicionar esta Pasta ou Ligação - ~1~ ~2~
lDialogAddFolderSelect	Seleccionar ou criar uma nova pasta:
lDialogAdmnistrator	Administrador
lDialogAdmnistratorNot	Não Administrador
lDialogAlt	Alt
lDialogApplicationLabel	Aplicação
lDialogAppWorkingDirCurrent	Iniciar o programa na pasta onde este favorito foi aberto
lDialogArgumentsLabel	Parâmetros
lDialogArgumentsLabelHelp	(Se for necessário ponha cada parâmetro entre aspas)
lDialogArgumentsPlaceholders	Pode inserir a localização deste favorito ou de parte dele nos parâmetros usando estes recipientes: {LOC} (localização completa), {NAME} (nome do ficheiro), {DIR} (pasta), {EXT} (extensão), {NOEXT} (ficheiro sem extensão) ou {DRIVE} (unidade)
lDialogArgumentsPlaceholdersCheckLabel	Parâmetros actuais com recipientes expandidos
lDialogArgumentsPlaceholdersCurrent	Pode também inserir espaços reservados para a pasta actual onde este favorito foi aberto: {CUR_LOC} (localização completa), {CUR_NAME} (última pasta), {CUR_DIR} (pasta contendo a última pasta) ou {CUR_DRIVE}
lDialogArgumentsPlaceholdersCurrentExample	x:\pasta_respectiva\última_pasta
lDialogAscending	Ascendente
lDialogBrowseButton	Procurar
lDialogBrowseOrSelectApplication	Procurar um ficheiro executável ou`nseleccionar um programa activo desta lista
lDialogCancelButton	Cancelar
lDialogCancelPrompt	Descartar alteração?
lDialogCancelTitle	Cancelar - ~1~ ~2~
lDialogChangeHotkeyAlternative	Trata-se de uma tecla de atalho ao menu Alternativo.`n`nDeseja manusear "~1~" em "~2~"?
lDialogChangeHotkeyAny	Qualquer uma
lDialogChangeHotkeyLeftAnyRight	A combinação de teclas pode ser associada só à tecla "Esquerda", só à "Direita" ou a "Qualquer uma" delas.
lDialogChangeHotkeyModifierAndNone	Modificadores como "Alt" ou "Control" não podem usados sozinhos. Seleccione também um atalho de teclado ou de rato na secção à direita.
lDialogChangeHotkeyMouseCheckLButton	Não pode atribuir o "Botão Esquerdo do Rato" sem um modificador`n(como as teclas ~1~, ~2~, ~3~ ou ~4~).
lDialogChangeHotkeyPopup	Trata-se de uma tecla de atalho do menu emergente.`n`nDeseja manusear "~1~" em "~2~"?
lDialogChangeHotkeyTitle	Alterar tecla de atalho - ~1~ ~2~
lDialogChangeHotstringDefaultOptionsPrompt	Seleccionar opções padrão para novas cadeias de substituição criadas (<a href="~1~">Ajuda</a>)
lDialogChangeHotstringTitle	Alterar cadeia de substituição - ~1~
lDialogChangeHotstringTitleDefaultOptions	Opções padrão de cadeias de substituição - ~1~
lDialogCloseAllWindows	Fechar todas as janelas
lDialogCloseAllWindowsClose	Fechar janelas seleccionadas
lDialogCloseAllWindowsDetail	Título da janela:`n~1~`n`nAtalho da janela:`n~2~`n`nDeseja FECHAR esta janela?
lDialogCloseAllWindowsHeader	Título da janela
lDialogCloseAllWindowsIntro	Seleccione as janelas a fechar e clique em "Fechar janelas seleccionadas". Faça duplo-clique ou prima Enter para fechar uma janela ou ver os seus detalhes.
lDialogCloseAllWindowsSelectAll	Seleccionar/Desmarcar todas
lDialogCloseComputerControl	Fechar Centro de Controlo do Computador
lDialogCloseComputerControlDescription	Assuma o controlo de como o seu computador irá encerrar:`n - Terminar sessão, Encerrar, Reiniciar, Desligar, forçado ou não`n- Suspender ou Hibernar, imediatamente ou não, desactivar eventos de despertar ou não`n- Desligar o monitor, Ligar economia de potência do monitor ou Iniciar a protecção de ecrã.
lDialogCloseComputerDisableWakeEvents	&Desactivar eventos de despertar
lDialogCloseComputerForce	&Forçar (pode provocar perda de dados)
lDialogCloseComputerGo	Executar a acção seleccionada
lDialogCloseComputerHibernate	&Hibernar o computador
lDialogCloseComputerHibernateDescription	Ponha o computador num estado de economia de energia que lhe permite voltar rapidamente ao modo normal (semelhante à Suspensão mas usa menos energia). Quando iniciar o PC novamente, estará de volta aonde o deixou (embora não tão rápido como na Suspensão). A Hibernação foi concebida para portáteis e pode não estar disponível para todos os PCs.
lDialogCloseComputerIntro	Seleccionar a acção a executar
lDialogCloseComputerLogoff	Fechar sessão
lDialogCloseComputerLogoffDescription	Fecha todas as aplicações e termina a actual sessão do utilizador.
lDialogCloseComputerMonitorLowPower	&Por o monitor em modo baixo consumo
lDialogCloseComputerMonitorLowPowerDescription	Coloca o monitor em modo de economia de energia. O modo de economia de energia foi concebido para portáteis e pode não estar disponível para monitores de computadores de secretária.
lDialogCloseComputerMonitorTurnOff	Desligar o moni&tor
lDialogCloseComputerMonitorTurnOffDescription	Desliga o monitor do computador.
lDialogCloseComputerPowerDown	Desligar o com&putador
lDialogCloseComputerPowerDownDescription	Fecha todas as aplicações e desliga a energia do computador.
lDialogCloseComputerPrompt	Por favor, seleccione uma opção...
lDialogCloseComputerRestart	&Reiniciar o computador
lDialogCloseComputerRestartDescription	Fecha todas as aplicações e reinicia o computador como se o utilizador o desligasse e voltasse a ligar.
lDialogCloseComputerShutdown	Encerrar o computador
lDialogCloseComputerShutdownDescription	Fecha todas as aplicações preparando o desligar a energia do computador. Dependendo da configuração do seu sistema, isto pode ser seguido pelo desligar do sistema.
lDialogCloseComputerStartScreenSaver	Inici&ar protecção de ecrã
lDialogCloseComputerStartScreenSaverDescription	Inicia a protecção de ecrã padrão.
lDialogCloseComputerSuspend	Suspender o computador
lDialogCloseComputerSuspendDescription	Coloca o computador num estado de economia de energia que lhe permite voltar rapidamente ao estado operacional quando pretender voltar a trabalhar. O modo Suspensão utiliza muito pouca energia, o seu computador arranca rapidamente e regressa de imediato ao que estava a fazer.
lDialogCloseComputerSuspendImmediately	Suspender &immediatamente (pode provocar perda de dados)
lDialogContinue	Continuar
lDialogContinueAmpersand	C&ontinuar
lDialogCopy	Copiar
lDialogCopyAmpersand	C&opiar
lDialogCopyFavoritesTitle	Copiar Favoritos - ~1~ ~2~
lDialogCtrl	Controlo
lDialogCtrlShort	Ctrl
lDialogDescending	Descendente
lDialogDropDown	pendente
lDialogEdit	Editar
lDialogEditIcon	Editar recursos do ícone
lDialogEditIconPrompt	Editar recursos do ícone no formato "ficheiro,índice" (por exemplo, "shell32.dll,2"):
lDialogElevate	Executar o programa com previlégios de administrador
lDialogEndOfMenu	Fim do menu
lDialogErrorMoving	Não é possível redimensionar o favorito:`n"~1~"
lDialogExtendedSearch	Procura alargada
lDialogExternalAddFromCatalogue	Deseja adicionar um menu externo do Catálogo de Menus Partilhados?
lDialogExternalLocation	Localização do ficheiro das definições externas do menu
lDialogExternalLocationIni	O ficheiro de definições do menu partilhado de ser um ficheiro .ini
lDialogExternalLocationReadOnly	A localização do menu partilhado existente não pode ser alterada. Se o ficheiro para este menu partilhado foi renomeado ou movido, primeiro remova este menu partilhado e crie um novo com o ficheiro movido ou renomeado.
lDialogExternalMenuAdd	Adicionar menu(s) partilhado(s) seleccionado(s)
lDialogExternalMenuAdded	Menu partilhado adicionado.
lDialogExternalMenuAddFromCatalogue	Adicionar menus partilhados do catálogo - ~1~ ~2~
lDialogExternalMenuAddHeader	Nome do Menu Partilhado|Ficheiro de Definições do Menu Partilhado
lDialogExternalMenuAddNotFromCatalogue	Adicionar outro menu partilhado...
lDialogExternalMenuName	Nome do menu partilhado
lDialogExternalMenuNotExist	Este menu partilhado não existe. Deseja criar um novo menu partilhado em branco nesta localização?`n`n~1~
lDialogExternalMenuOpen	Abrir ficheiro de menu partilhado?
lDialogExternalMenusAdded	~1~ menus partilhados adicionados.
lDialogExternalMenuSelectFromCatalogue	Seleccione um ou mais menus partilhados para adicionar ao seu menu e clique ~1~
lDialogExternalStartingNumber	Número do primeiro favorito:
lDialogExternalTip	Faça duplo-clique numa linha para ver a informação do menu partilhado.
lDialogExternalTypes	Pessoal (menu partilhado em vários computadores pelo mesmo utilizador)|Colaborativo (menu numa unidade partilhada por equipa ou grup de trabalho)|Centralizado (menu numa unidade partilhado mantido por um administrador)
lDialogExternalTypesLabel	Tipo de Menu Partilhado
lDialogExternalWriteAccessMessage	Mensagem de acesso de escrita no menu partilhado
lDialogExternalWriteAccessUsers	Utilizadores com direito de escrita neste menu partilhado
lDialogFavoriteDisabled	Ocultar este favorito no menu
lDialogFavoriteDisabledGroupMember	Desactivar este item no grupo
lDialogFavoriteDoesNotExistEdit	Deseja editar este favorito?
lDialogFavoriteDoesNotExistPrompt	O favorito "~1~"~2~ não existe ou não está disponível.`n`nSe este favorito está numa unidade de rede, repita depois de autenticar a rede.
lDialogFavoriteDoesNotExistTitle	O favorito não existe - ~1~
lDialogFavoriteDropdownEmpty	Por favor escolha um item na lista ~1~ ~2~.
lDialogFavoriteExternalHelpWeb	Consulte <a href="~1~">Ajuda menus externos</a> para mais informação.
lDialogFavoriteExternalSaveNote	Nota: Os valores deste separador são guardados no menu partilhado quando clicar em "~1~".
lDialogFavoriteFolderLive	Pasta Live (menu incluindo subpastas)
lDialogFavoriteFolderLiveColumns	Número de itens por coluna (0 para sem quebra de colunas)
lDialogFavoriteFolderLiveDocuments	Incluir documentos
lDialogFavoriteFolderLiveExclude	Excluir
lDialogFavoriteFolderLiveExtensions	estas extensões (separar as extensões com espaços, por exemplo "bak bk")
lDialogFavoriteFolderLiveInclude	Incluir
lDialogFavoriteFolderLiveLevels	Número de níveis de subpastas a incluir no menu Pasta Live
lDialogFavoriteLocationEmpty	A localização está vazia. Por favor, escolha outra.
lDialogFavoriteMenuPosition	Inserir o favorito antes deste item
lDialogFavoriteNameEmpty	O nome do favorito está em branco. Por favor, escolha um nome.
lDialogFavoriteNameNoSeparator	O nome deste item não pode incluir o caracter reservado "~1~".
lDialogFavoriteNameNotAllowed	Favoritos do tipo "~1~" não são permitidos em grupos. Por favor, seleccione outro menu no separador "Opções de Menu".
lDialogFavoriteNameNotNew	O nome "~1~" já é usado neste menu. Por favor, escolha um novo nome.
lDialogFavoriteNameNotNewQAPfeature	O nome "~1~" já é usado neste menu. Por favor, mude o nome do favorito existente e tente de novo.
lDialogFavoriteParentMenu	Menu superior do Favorito
lDialogFavoriteParentMenuMove	Mover o favorito para este menu
lDialogFavoriteRemoveExternalPrompt	Remover o submenu externo "~1~"`n(o ficheiro ini das definições externas NÃO será eliminado)?
lDialogFavoriteRemoveGroupPrompt	Remover o grupo "~1~"`n(os itens do grupo também serão eliminados)?
lDialogFavoriteRemovePrompt	Remover o submenu "~1~"`ne TODO o seu conteúdo (pastas e submenus)?
lDialogFavoriteRemoveTitle	Remover Favorito - ~1~
lDialogFavoriteSelectType	Seleccione o tipo de favorito a adicionar.`n`nNa janela seguinte, irá dar ao favorito:`n- um nome`n- um conteúdo (dependendo do tipo)`n- várias definições (ícone, atalho, etc.)`n`nEscolha o tipo do novo favorito e clique "~1~".
lDialogFavoriteShortNameLabel	Abreviatura para o menu
lDialogFavoritesMenuPosition	Inserir os favoritos antes deste item
lDialogFavoriteSnippetEmpty	O conteúdo está vazio. Por favor, introduza o conteúdo.
lDialogFavoriteSnippetFixedFont	Fonte de largura fixa
lDialogFavoriteSnippetFontSize	Tamanho da fonte
lDialogFavoriteSnippetHelpNoProcess	Insira ``n para fim de linha e ``t para tabulação. Insira ```` (duplo acento grave) para acento grave (backtick).
lDialogFavoriteSnippetHelpProcess	Use Ctrl-Tab para inserir tabulações ou Enter para inserir fins de linha
lDialogFavoriteSnippetHelpWeb	Consulte <a href="~1~">Ajuda de Amostras</a> para codificação de caracteres especiais e comandos.
lDialogFavoriteSnippetProcessEOLTab	Codificar automaticamente fins de linha e tabulações
lDialogFavoriteSnippetPromptLabel	Notificar antes de ~1~ o snippet
lDialogFavoriteSnippetPromptLabelLaunching	iniciar
lDialogFavoriteSnippetPromptLabelPasting	colar
lDialogFavoriteSnippetPromptNoPipe	O caracter barra vertical (|) não é permitido nos snippets
lDialogFavoriteSnippetSendMode	Enviar amostra para a aplicação actual em:
lDialogFavoriteSnippetSendModeMacro	Modo Macro
lDialogFavoriteSnippetSendModeText	Modo Texto
lDialogFavoritesParentMenuCopy	Copiar ~1~ favoritos para este menu
lDialogFavoritesParentMenuMove	Mover ~1~ favoritos para este menu
lDialogFavoriteType	Tipo de Favorito
lDialogFavoriteTypesHelp1	Criar um atalho para uma "Pasta" utilizada com frequência.`n`nDefina o nome do menu do favorito, atalho e diversas opções do menu.`n`nAs opções da Pasta 'Live' permitem actualizar o conteúdo do menu com o actual conteúdo da pasta.`n`nAs definições avançadas permitem ajustar a posição da janela e opções de gestão de ficheiros.
lDialogFavoriteTypesHelp13	Criar uma "Amostra de Texto". Defina o título para o menu, o seu conteúdo e diversas opções do menu.`n`nNas opções avançadas, escolha "Modo Texto" para colar pedaços de texto como faria da área de transferência ou escolha "Modo Macro" para enviar fragmentos como se digitasse teclas (incluindo teclas especiais, consulte a ajuda).
lDialogFavoriteTypesHelp14	Criar um "Menu Partilhado" para usar os favoritos em vários sistemas a partir do mesmo ficheiro de definições numa localização externa. Defina o nome para o menu partilhado, a localização do ficheiro de definições externas e diversas opções.`n`nOs menus partilhados podem ser utilizados nos modos "Pessoal", "Participativo" ou "Centralizado". Pode ser definido um Catálogo de Menus Partilhados no separador Options "Geral" para facilitar a adição de menus partilhados.`n`nOs menus patilhados podem ser editados como menus normais. Só os utilizadores seleccionados podem editar menus partilhados Centralizados. Veja as perguntas frequentes (FAQ) no site para mais ajuda.
lDialogFavoriteTypesHelp15	Crie um "Separador de Texto" para inserir cabeçalhos dando mais clareza ao seu menu.`n`nPor defeito, os separadores de texto não possuem ícone mas pode seleccionar um no separador "Opções do Menu".
lDialogFavoriteTypesHelp2	Criar um atalho para um "Documento".`n`nDefina o nome do menu do favorito, atalho e diversas opções do menu.`n`nAs definições avançadas permitem escolhar uma aplicação específica para abrir o documento e adicionar parâmetros opcionais.
lDialogFavoriteTypesHelp3	Criar um atalho para uma "Aplicação" (programa, batch ou script).`n`nLocalize o ficheiro executável ou seleccione um dos programas em execução. Defina diversas opções do menu.`n`nAs definições avançadas permitem escolher uma pasta "Iniciar Em" e adicionar parâmetros.
lDialogFavoriteTypesHelp4	Criar um atalho para uma das 50 "Pastas Especiais" predefinidas do Windows, tais como: Bibliotecas, As Minhas Imagens, Reciclagem, Transferências, etc.`n`nDefina diversas opções do menu. As definições avançadas permitem definir a posição da janela e opções de gestão de ficheiros.
lDialogFavoriteTypesHelp5	Criar uma "Ligação" para uma página internet.`n`nDefina o nome do menu, endereço da página (URL) e diversas opções do menu.`n`nAs definições avançadas permitem seleccionar um navegador para abrir a ligação e adicionar parâmetros opcionais.
lDialogFavoriteTypesHelp6	Criar um atalho para um "Site FTP".`n`nDefina o nome do menu, Endereço do site FTP (URL), utilizador, palavra-passe e diversas opções do menu.`n`nAs definições avançadas permitem seleccionar um programa FTP para aceder ao site, adicionar parâmetros opcionais, definir a posição da janela e codificar o nome de utilizador e palavra-passe.`n`nNota: a palavra-passe NÃO é encriptada ao ser enviada para a Internet.
lDialogFavoriteTypesHelp7	Inserir algures no seu menu "Funções Quick Access Popup" tais como: ~1~, ~2~, ~3~, ~4~, ~5~, etc.`n`nVer descrições e ligações de ajuda para mais informação.
lDialogFavoriteTypesHelp8	Reunir favoritos relacionados num "Submenu".`n`nAtribua um nome ao seu submenu e seleccione opções de menu.`n`nAdicione favoritos ao seu submenu. Mova um favorito para outro submenu ou grupo usando o botão "Mover" ou o separador "Opções do Menu" da janela "Editar favorito".
lDialogFavoriteTypesHelp9	Carregar um "Grupo" de favoritos, todos com uma só tecla de atalho!`n`nAtribua um nome ao seu grupo e defina diversas opções para o seu grupo.`n`nAdicione favoritos ao seu grupo. Mova um favorito para outro grupo ou submenu usando o botão "Mover" ou o separador "Opções do Menu" da janela "Editar favorito".`n`nAs opções avançadas permitem controlar a velocidade de restauro inserindo um atraso entre cada favorito a restaurar.
lDialogFavoriteTypesLabels	&Pasta|&Documento|&Aplicação|Pasta E&special|&Ligação (URL)|Site F&TP|Função &QAP|Sub&menu|&Grupo||||S&nippet|Menu Partil&hado|Separador de Texto|&Windows App
lDialogFavoriteTypesLabelsNoAmpersand	Pasta|Documento|Aplicação|Pasta Especial|Ligação (URL)|Site FTP|Função QAP|Submenu|Grupo||||Snippet|Menu Partilhado|Separador de Texto|Windows App
lDialogFavoriteTypesLocationLabels	Pasta (atalho)|Documento (atalho e nome de ficheiro)|Aplicação (atalho e nome de ficheiro)||Ligação (URL)|Site FTP (URL)|||||||Conteúdo|Ficheiro de definições esternas (atalho)|Separador de Texto|Windows App ID (AUMID)
lDialogFavoriteTypesShortNames	Pasta|Doc|App|Especial|Link|FTP|QAP|Menu|Grupo|Separador|Quebra de Coluna|..|Snippet|Partilhado|Texto
lDialogFavoriteWorkingDirNotFoundPrompt	A definição avançada "Iniciar em" do favorito "~1~" não foi encontrada:`n~2~
lDialogFavoriteWorkingDirNotFoundTitle	Parâmetro Iniciar em não encontrado - ~1~
lDialogFileExtension	Extensão do Ficheiro
lDialogFileLabel	Documento
lDialogFileName	Nome do Ficheiro
lDialogFileSize	Tamanho do Ficheiro
lDialogFolderLabel	Pasta
lDialogFoldersPlaceholders	Pode incluir o recipiente {CUR_LOC} para inserir o local onde este favorito é carregado
lDialogGetWebPageTitle	Obter título
lDialogGetWinInfo	Para identificar a janela da qual pretende obter o título, classe ou nome do processo, clique na janela alvo com a combimação [~1~] do menu QAP.
lDialogGetWInInfo2Clippoard	Título da janela:`n"~1~"`n`nClasse:`n"~2~"`n`nProcesso:`n"~3~"`n`nCopiar esta informação para a Área de transferência?
lDialogHotkeyInvisibleKeys	(OLD version *UPDATE next line and DELETE this line*) <a id="~1~">barra de espaços</a>, <a id="~2~">tab</a>, <a id="~3~">enter</a> ou <a id="~4~">escape</a>
lDialogHotkeys	Teclas de Atalho
lDialogHotkeysManageAboutHotstrings	Cadeias de substituição actualmente activas em ~1~
lDialogHotkeysManageAboutShortcuts	Teclas de atalho actualmente activas em ~1~
lDialogHotkeysManageAlternative	Alternativo
lDialogHotkeysManageAlternativeMenu	Menu Alternativo
lDialogHotkeysManageIntro	Faça duplo-clique num favorito para alterar os seus ~1~.
lDialogHotkeysManageListHeader	Menu|Favorito|Tipo|~1~|Localização ou Conteúdo do Favorito
lDialogHotkeysManageListHeaderHotstrings	Cadeias de substituição|Opções
lDialogHotkeysManageListSeeAllFavorites	Ver todos os favoritos
lDialogHotkeysManageListSeeShortHotkeyNames	Ver nomes abreviados das teclas de atalho e opções de cadeias de substituição
lDialogHotkeysManagePopup	Popup
lDialogHotkeysManageShortcutHotstringLower	tecla de atalho|cadeia de substituição
lDialogHotkeysManageTitle	Gerir Teclas de atalho - ~1~ ~2~
lDialogHotstring	Cadeia de substituição
lDialogHotstringCaseSensitive	Sensível a Maiúsc/minúsc
lDialogHotstringExpandInsideWords	Expandir dentro de outras palavras
lDialogHotstringIndicator	cs
lDialogHotstringKeepHotstring	Manter abreviatura da cadeia de substituição
lDialogHotstringNotWaitEndingKey	Não esperar por tecla final
lDialogHotstrings	Cadeias de substituição
lDialogHotstringsDescription	Exibe uma caixa de diálogo com uma vista geral das cadeias de substituição (pequenas sequência de teclas que activam automaticamente os favoritos QAP). Pode ordenar os favoritos clicando no cabeçalho.`n`nFaça duplo clique numa cadeia de substituição para editá-la.`n`nClique na caixa de selecção "Ver todos os favoritos" para atribuir cadeias de substituição a outros favoritos.
lDialogHotstringsShort	Substituições
lDialogHotstringTriggerAbbreviation	Activador (abreviatura):
lDialogHotstringTriggerOptions	Cadeia de substituição (activador e opções)
lDialogHotstringWaitEndingKey	Aguardar tecla final
lDialogIcon	Ícone do Favorito
lDialogIconsManage	Ícones
lDialogIconsManageAbout	Seleccione novos ícones para os seus favoritos ou defina-os para o ícone padrão do seu tipo. Não se esqueça de guardar as alterações na janela Definições.
lDialogIconsManageCurrent	Ícone actual
lDialogIconsManageDefault	Ícone padrão
lDialogIconsManageDescription	Exibe uma caixa de diálogo listando todos os favoritos no seu menu QAP com os seus ícones actuais e o ícone padrão para este tipo de favorito. Os favoritos são agrupados em sub-menus, pela ordem que aparecem no seu menu.`n`nClique nos botões para seleccionar um ícone personalizado para um favorito oureponha um favorito para o seu ícone padrão.
lDialogIconsManageFavoriteName	Nome do favorito
lDialogIconsManageNext	&Seguinte
lDialogIconsManageParentMenu	Menu principal do Favorito
lDialogIconsManagePrevious	&Anterior
lDialogIconsManageSetDefaultIcon	Definir ícone padrão
lDialogIconsManageTitle	Gerir Ícones - ~1~ ~2~
lDialogInvalidHotkey	Com a sua actual configuração do teclado, a tecla de atalho "~1~" não pode usada como desencadeadora do menu emergente (erro de nome de tecla inválido).`n`nPor favor, abra a janela "Definições" do menu da Barra de notificação e clique em "Opções". Nesta caixa de diálogo, escolha outro atalho para "~2~".
lDialogInvalidHotkeyFavorite	Com a sua actual configuração do teclado, a tecla de atalho "~1~" não pode usada como desencadeadora para este favorito (erro de nome de tecla inválido).`n`nPor favor, escolha outro atalho para o favorito "~2~" e localização "~3~".
lDialogKeyboard	Teclado
lDialogLaunchWith	Abrir com esta aplicação
lDialogMaximized	Maximizado
lDialogMenuKey	Tecla de Menu
lDialogMenuNotMoveUnderItself	O menu "~1~" não pode ser movido para si próprio
lDialogMinimized	Minimizado
lDialogModifiedDate	Data de modificação
lDialogMouse	Rato
lDialogMouseButtonsText	Botão Esquerdo do Rato|Botão do Meio do Rato|Botão Direito do Rato|Botão Especial 1|Botão Especial 2|Roda p/Cima|Roda p/Baixo|Roda p/Esq.|Roda p/Dir.|
lDialogMoveFavoritesTitle	Mover Favoritos - ~1~ ~2~
lDialogMoveFavoriteTitle	Mover Favorito - ~1~ ~2~
lDialogNA	n/d
lDialogNone	Nenhum
lDialogNormal	Normal
lDialogOff	Desligado
lDialogOK	OK
lDialogOKAmpersand	&OK
lDialogOn	Ligado
lDialogOpenThisGroup	Abrir este grupo
lDialogOpenThisMenu	Abrir este menu
lDialogOr	ou
lDialogOtherHotkeys	Outras teclas de atalho para o menu principal
lDialogQAPFeatureCategoriesNames	Destaque|Menus Dinâmicos|Edição do Menu QAP|Adicionar Favorito do Tipo|Gestão de janelas|Recursos do Windows|Utilitários|Gestão do QAP
lDialogQAPFeaturesHelpLink	Ajuda neste recurso
lDialogReadOnly	Só de leitura
lDialogRemoveMultipleFavorites	Deseja mesmo remover ~1~ favoritos ou submenus?
lDialogSearch	Procurar
lDialogSelectIcon	Seleccionar ícone
lDialogSelectIconJL	Seleccionar em JLicons.dll
lDialogSelectIconNo	Sem ícone
lDialogSelectItemToAdd	Seleccione o item para adicionar
lDialogSelectItemToEdit	Por favor, seleccione o item para editar.
lDialogSelectItemToMove	Por favor, seleccione o item para mover.
lDialogSelectItemToRemove	Por favor, seleccione o item para remover.
lDialogSettingsInvalid	Ficheiro de Definições inválido.`n`nCertifique-se que o ficheiro de definições inclui as secções ~1~ e ~2~.`n`nFicheiro: ~3~
lDialogSettingsNotSavedPrompt	A janela Definições está aberta com alterações não guardadas. Essas alterações devem ser guardadas ou canceladas antes de executar acção seleccionada.`n`nDeseja:`n- "Guardar": guardar as alterações e executar a acção seleccionada`n- "Definições": cancelar a acção seleccionada e voltar à janela Definições`n- "Cancelar": cancelar a acção seleccionada?
